Date,Time,Ia,Ig,Ia 2nd Limit,Ia 1st Limit,Conv_Speed,Product_Temp,Electrode_Set,Electrode_Act
25/03/2025,14:22:43,0.29,0.65,1.7,1.5,0.2,34,75,75.1
25/03/2025,14:22:48,0.29,0.65,1.7,1.5,0.2,34,75,75.1
25/03/2025,14:22:53,0.29,0.65,1.7,1.5,0.2,34,75,75.1
25/03/2025,14:22:58,0.29,0.65,1.7,1.5,0.2,34,75,75.1
25/03/2025,14:23:03,0.29,0.65,1.7,1.5,0.2,34,75,75.1
25/03/2025,14:23:08,0.3,0.65,1.7,1.5,0.2,35,75,75.1
25/03/2025,14:23:13,0.29,0.65,1.7,1.5,0.2,35,75,75.1
25/03/2025,14:23:18,0.3,0.65,1.7,1.5,0.2,35,75,75.1
25/03/2025,14:23:23,0.29,0.65,1.7,1.5,0.2,35,75,75.1
25/03/2025,14:23:28,0.3,0.65,1.7,1.5,0.2,35,75,75.1
25/03/2025,14:23:33,0.3,0.65,1.7,1.5,0.2,35,75,75.1
25/03/2025,14:23:38,0.3,0.65,1.7,1.5,0.2,35,75,75.1
25/03/2025,14:23:43,0.29,0.65,1.7,1.5,0.2,35,75,75.1
25/03/2025,14:23:48,0.3,0.65,1.7,1.5,0.2,35,75,75.1
25/03/2025,14:23:53,0.29,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:23:58,0.3,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:03,0.3,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:08,0.29,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:13,0.3,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:18,0.3,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:23,0.3,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:28,0.3,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:33,0.29,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:38,0.29,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:43,0.29,0.65,1.7,1.5,0.2,36,75,75.1
25/03/2025,14:24:48,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:24:53,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:24:58,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:03,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:08,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:13,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:18,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:23,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:28,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:33,0.29,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:38,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:43,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:48,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:53,0.3,0.65,1.7,1.5,0.2,37,75,75.1
25/03/2025,14:25:58,0.3,0.65,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:03,0.3,0.65,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:08,0.3,0.65,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:13,0.3,0.65,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:18,0.31,0.65,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:23,0.31,0.64,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:28,0.32,0.64,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:33,0.34,0.64,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:38,0.36,0.63,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:43,0.39,0.63,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:48,0.43,0.63,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:53,0.49,0.63,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:26:58,0.53,0.62,1.7,1.5,0.2,38,75,75.1
25/03/2025,14:27:03,0.59,0.62,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:08,0.64,0.62,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:13,0.71,0.61,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:18,0.78,0.6,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:23,0.85,0.6,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:28,0.93,0.6,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:33,1,0.6,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:38,1.08,0.59,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:43,1.18,0.59,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:48,1.28,0.59,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:53,1.39,0.58,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:27:58,1.48,0.57,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:28:03,1.61,0.56,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:28:08,1.72,0.55,1.7,1.5,0.2,39,75,75.1
25/03/2025,14:28:13,1.67,0.56,1.7,1.5,0.2,40,75,75.6
25/03/2025,14:28:18,1.67,0.56,1.7,1.5,0.2,39,75,75.9
25/03/2025,14:28:23,1.69,0.56,1.7,1.5,0.2,39,75,76.1
25/03/2025,14:28:28,1.7,0.56,1.7,1.5,0.2,40,75,76.3
25/03/2025,14:28:33,1.68,0.56,1.7,1.5,0.2,40,75,76.6
25/03/2025,14:28:38,1.67,0.56,1.7,1.5,0.2,40,75,76.9
25/03/2025,14:28:43,1.69,0.56,1.7,1.5,0.2,40,75,77.1
25/03/2025,14:28:48,1.7,0.56,1.7,1.5,0.2,40,75,77.3
